"BEZEICHNUNG","THIS_YEAR"
"+/- Zunahme/Abnahme der Rückstellungen",497966.5
"+/- sonstige zahlungsunwirksame Aufwendungen/Erträge",963336.84
"-/+ Zunahme/Abnahme kurzfristiger Vermögenswerte ohne Zahlungsmittel",32632959.04
"+/- Zunahme/Abnahme der sonstigen Schulden und Steuerschulden",34074677.59
"+/- Anpassungen aufgrund Erstkonsolidierung",413606.17
"+ Einzahlungen aus dem Abgang von immateriellen Vermögenswerten",25047
"- Auszahlungen für Investitionen in immaterielle Vermögenswerte",17509755.64
"- Auszahlungen für Geschäftswerte",0
"+ Einzahlungen aus dem Abgang von Sachanlagen",27314.43
"- Auszahlungen für Investitionen in Sachanlagen",111895.43
"+ Einzahlungen aus dem Abgang von finanziellen Vermögenswerten",1010000
"- Auszahlungen aufgrund von Investitionen in finanzielle Vermögenswerte",51459
"- für Investitionen in immaterielle Vermögenswerte",3842
"- für Investitionen in Geschäftswerte",2684474.11
"- für Investitionen in Sachanlagen",3768
"- für Investitionen in finanzielle Vermögenswerte",728.23
"- für andere Vermögenswerte",3512911.58
"- über die Verrechnung mit der Kapitalrücklage",572103.43
"+ abzüglich erworbene Bestände an Zahlungsmitteln",5035630.02
"mit der Kapitalrücklage",433953.44
"+/- Einzahlungen/Auszahlungen aus Aufnahme/Tilgung von (Finanz-) Krediten",6371487.8
"Zahlungswirksame Veränderungen des Finanzmittelfonds",7693760.69
"+/- wechselkursbedingte Änderungen",661.64
"+/- konsolidierungskreisbedingte Änderungen",5035630.02
"Umsatzerlöse",81940376.8
"1. Aktivierte Eigenleistungen",2757675.8
"2. Bestandsveränderungen",1233362
"1. Materialaufwand",42148091.24
"2. Personalaufwand",12496088.73
"3. Abschreibungen",1097240.99
"1. Sonstige betriebliche Erträge",1971231.16
"2. Sonstige betriebliche Aufwendungen",11133267.79
"1. Sonstige Finanzerträge",666584.54
"2. Finanzaufwand",587322.84
"Ertragssteueraufwand",3202180.94
"Erträge aus Kapitalherabsetzungen",3000
"Ergebnis je Aktie",200
"Selbsterstellte immaterielle Vermögenswerte",6550338
"Sonstige immaterielle Vermögenswerte",52773470.74
"Sonstige Sachanlagen",1964847.74
"3. Finanzielle Vermögenswerte",2503667.14
"Latente Steuern",7499825.65
"1. Vorräte",1502094.18
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",75149758.21
"Steuererstattungsansprüche",2435906.51
"4. Übrige finanzielle Vermögenswerte",0
"5. Zahlungsmittel und Zahlungsmitteläquivalente",157194108.22
"EPRM",92768000
"CCS",288000
"Sonstige",0
"abzüglich: Impairment-Abschreibungen",0
"abzgl. Goodwill Anpassung wg. latenter Steuern",2963000
"1. Gezeichnetes Kapital",81429915
"2. Kapitalrücklage",30313960.02
"3. Bilanzgewinn",52148484.88
"4. Umrechnungsrücklage",4232.77
"Steuerrückstellungen",3049685.27
"Sonstige kurzfristige Rückstellungen",5662258.6
"Latente Steuern",3687626.35
"Langfristige verzinsliche Schulden",8000000
"Sonstige langfristige Schulden",120000
"Verbindlichkeiten aus Lieferungen und Leistungen",131000225.02
"Verzinsliche Schulden",3529280.18
"Sonstige finanzielle Verbindlichkeiten",78729596.75
"Kurzfristige Steuerschulden",0
"Ergebnis nach Steuern",30471562.88
"Abnahmen/Zunahmen aus Währungskursdifferenzen",2638.08
"Abschreibungen/Zuschreibungen auf Geschäftswerte",2962843.86
"Zunahme/Abnahme der Rückstellungen",6135860.48
"sonstige zahlungsunwirksame Aufwendungen/Erträge",1167151.98
"Finanzmittel",21883713.3
"Zunahme/Abnahme der sonstigen Schulden und Steuerschulden",110079960.71
"Anpassungen aufgrund Erstkonsolidierung",33069090.73
"Einzahlungen aus dem Abgang von immateriellen Vermögenswerten",841366.97
"Auszahlungen für Investitionen in immaterielle Vermögenswerte",18644287.93
"Auszahlungen für Geschäftswerte",9321
"Einzahlungen aus dem Abgang von Sachanlagen",55903.23
"Auszahlungen für Investitionen in Sachanlagen",705782.96
"Einzahlungen aus dem Abgang von finanziellen Vermögenswerten",956493.77
"Vermögenswerte",290378.57
"für Investitionen in Geschäftswerte",19498862.9
"für Investitionen in finanzielle Vermögenswerte",47607.01
"abzüglich erworbene Bestände an Zahlungsmitteln",19689335.91
"Verrechnung mit der Kapitalrücklage",23626209.51
"(Finanz-) Krediten",1416774.2
"Zahlungswirksame Veränderungen des Finanzmittelfonds",102970369.49
"wechselkursbedingte Änderunge",31579.53
"konsolidierungskreisbedingte Änderungen",19689335.91
"nicht zahlungswirksame Eigenkapitalzuführungen, davon",1368420.47
"Sachkapitalerhöhung",0
"Differenzen aus Währungsumrechnungen",31579.53
"Erhöhung Kapitalrücklage wegen Personalaufwand Wandelanleihe",1400000
"I. Umsatzerlöse (4.1)",134167864.33
"1. Aktivierte Eigenleistungen (2.3), (3.1)",4328186.67
"2. Bestandsveränderungen",0
"1. Materialaufwand (4.2)",72968959.03
"2. Personalaufwand (4.3)",18275707.6
"3. Abschreibungen",2047616.27
"1. Sonstige Finanzerträge",738738.78
"2. Finanzaufwand",3971351.15
"VII. Ertragsteueraufwand (4.7)",615003.29
"X. Erträge aus Kapitalherabsetzungen",0
"Ergebnis je Aktie (unverwässert)",380
"Raumkosten",1060000
"Verwaltungskosten",6520000
"Vertriebskosten",4861000
"übrige",1164000
"Auflösung von Rückstellungen",24000
"Auflösung von Wertberichtigungen",300000
"Erträge Auflösung SoPo",26000
"Verrechnete Sachbezüge",44000
"Umrechnungsdifferenzen",603000
"USt Erstattungen",342000
"Sonstiges",837000
"Fremdarbeiten",686000
"Selbsterstellte immaterielle Vermögenswerte",9580000
"Sonstige immaterielle Vermögenswerte",10275093.19
"Kundenbeziehungen",44675049.94
"Sonstige Sachanlagen",1642279.78
"3. Finanzielle Vermögenswerte",1785066.15
"Latente Steueransprüche",6946737.83
"1. Vorräte",62939.52
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",56684402.1
"Steuererstattungsansprüche",3070040.43
"4. Zahlungsmittel und Zahlungsmitteläquivalente",195938594.25
"Payment Processing & Risk Management",65984000
"Acquiring & Issuing",24017000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"abzüglich Goodwill-Anpassung wegen Latenter Steuern",0
"1. Gezeichnetes Kapital",101803139
"2. Kapitalrücklage",10722517.49
"3. Bilanzgewinn",94453905.44
"4. Umrechnungsrücklage",24443.14
"Langfristige verzinsliche Verbindlichkeiten",5500000
"Sonstige langfristige Verbindlichkeiten",0
"Latente Steuerschulden",4642133.26
"Verbindlichkeiten aus Lieferungen und Leistungen",113820765.57
"Verzinsliche Verbindlichkeiten",3500000
"Sonstige Rückstellungen",1526723.74
"Sonstige Verbindlichkeiten",4534330.17
"Kundeneinlagen aus dem Bankgeschäft",78738777.72
"Steuerrückstellungen",1731379.33
"Ergebnis vor Zinsen und Ertragsteuern (EBIT)",49017753.54
"konsolidierten Unternehmen",0
"Gewinn/Verlust aus dem Abgang von Anlagevermögen",6726.16
"Zunahmen/Abnahme aus Währungskursdifferenzen",1809511.39
"Zunahme/Abnahme der Vorräte",1439154.66
"Zunahme/Abnahme Forderungen aus Lieferungen und Leistungen",19050789.87
"Zunahme/Abnahme anderer kurzfristiger Aktiva",365866.08
"Zunahme/Abnahme der Rückstellungen",3146364.57
"Zunahme/Abnahme Verbindlichkeiten aus Lieferungen und Leistungen",16369204.71
"Zunahme/Abnahme anderer kurzfristiger Passiva",34764794.97
"Sonstige zahlungsunwirksame Aufwendungen und Erträge",2461572.52
"Auszahlungssaldo aus Ertragsteuern",6187896.68
"Gezahlte Zinsen ohne Darlehenszinsen",375987.37
"Erhaltene Zinsen",415041.37
"Net Working Capital aus Erstkonsolidierung",27894539.25
"Vermögenswerte und Sachanlagen",12930226.28
"Vermögenswerten und Sachanlagen",0
"Auszahlungen für Investitionen in finanzielle Vermögenswerte",159173.21
"Vermögenswerten",0
"erworbener Zahlungsmittel",23434789.69
"Anteilen an konsolidierten Unternehmen",0
"Einzahlungen aus der Ausgabe von Aktien",135781.47
"Aktien",0
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",0
"Finanzverbindlichkeiten",0
"Auszahlung aus der Tilgung von Finanzverbindlichkeiten",2500000
"Dividendenausschüttung",0
"Gezahlte Zinsen aus Darlehen",577091.88
"Zahlungswirksame Veränderungen des Finanzmittelfonds",1913146.7
"wechselkursbedingte Änderungen des Finanzmittelfonds",20210.37
"Finanzmittelfonds",0
"nicht zahlungswirksame Eigenkapitalzuführungen, davon",625789.63
"Differenzen aus Währungsumrechnungen",20210.37
"Erhöhung Kap italrücklage wegen Personalaufwand Wandelanleihe",646000
"I. Umsatzerlöse (4.1.), (2.12.)",196789873.12
"1. Aktivierte Eigenleistungen",4107656
"1. Materialaufwand (4.2.)",110386501.34
"2. Personalaufwand (4.3.)",23709215.52
"3. Abschreibungen (2.3.)-(2.5.)",3380962.53
"1. Sonstige Finanzerträge",871201.36
"2. Finanzaufwand",1495574.47
"VII. Ertragsteueraufwand (4.7.), (2.7.)",6087959.87
"X. Erträge aus Kapitalherabsetzungen",0
"Ergebnis je Aktie (unverwässert) (4.8.)",420
"Rechtsberatungs-, Abschlusskosten",3517000
"Beratungs- und beratungsnahe Kosten",2588000
"Bürokosten",2732000
"Betriebsausstattung und Leasing",2346000
"Vertrieb und Marketing",3837000
"Sonstiges",3648000
"Auflösung von Rückstellungen/abgegrenzte Schulden",335000
"Erträge aus Auflösung Sonderposten",7000
"Erträge aus vertraglichen Vereinbarungen",791000
"Umrechnungsdifferenzen",192000
"Erträge aus Börsengang von Visa Inc.",454000
"Auflösung von Wertberichtigungen",586000
"Erträge aus Ausgleichszahlungen",450000
"Verrechnete Sachbezüge",256000
"Sonstiges",1193000
"Selbsterstellte immaterielle Vermögenswerte",12723396.73
"Sonstige immaterielle Vermögenswerte",11576877.19
"Kundenbeziehungen",48649808.94
"Sonstige Sachanlagen",1497025.35
"3. Finanzielle und andere Vermögenswerte",16285831.22
"Latente Steueransprüche",4351455.95
"1. Vorräte",353531.91
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",80561820.67
"Steuererstattungsansprüche",1750965.38
"4. Zahlungsmittel und Zahlungsmitteläquivalente",272528622.02
"Payment Processing & Risk Management",65984000
"Acquiring & Issuing",24017000
"Call Center & Communication Services",288000
"1. Gezeichnetes Kapital",101803139
"2. Kapitalrücklage",11261517.49
"3. Bilanzgewinn",131831808.1
"4. Umrechnungsrücklage",14094.75
"Langfristige verzinsliche Verbindlichkeiten",2000000
"Sonstige langfristige Verbindlichkeiten",1482592.62
"Latente Steuerschulden",6314956.86
"Verbindlichkeiten aus Lieferungen und Leistungen",140479318.8
"Verzinsliche Verbindlichkeiten",3509590.31
"Sonstige Rückstellungen",1241015.59
"Sonstige Verbindlichkeiten",16739660.63
"Kundeneinlagen aus dem Bankgeschäft",122819737.38
"Steuerrückstellungen",1099118.72
"Ergebnis vor Zinsen und Ertragsteuern (EBIT)",56526848.05
"Gewinn/Verlust aus dem Abgang von Anlagevermögen",31286.95
"Zunahme/Abnahme aus Währungskursdifferenzen",590763.92
"Zunahme/Abnahme der Vorräte",290592.39
"sonstiger Forderungen",25366943.83
"Zunahme/Abnahme anderer Aktiva",2343796.8
"Zunahme/Abnahme der Rückstellungen",285708.15
"Zunahme/Abnahme lfr. Schulden ohne Finanzschulden",1482592.62
"Zunahme/Abnahme Verbindlichkeiten aus Lieferungen und Leistungen",26631063.82
"Zunahme/Abnahme anderer kurzfristiger Passiva",12133486.9
"Sonstige zahlungsunwirksame Aufwendungen und Erträge",539000
"Auszahlungssaldo aus Ertragsteuern",3931814.3
"Gezahlte Zinsen ohne Darlehenszinsen",609791.51
"Erhaltene Zinsen",1145302.23
"Eliminierung von Kaufpreisverbindlichkeiten",2912603.73
"Sachanlagen",12509167.89
"Sachanlagen",1639.84
"Auszahlungen für Investitionen in finanzielle Vermögenswerte",10341544.08
"Einzahlungen aus dem Verkauf von finanziellen Vermögenswerten",67025.81
"Einzahlungen aus der Tilgung von Ausleihungen",1000000
"konsolidierter Gesellschaften unter Abzug erworbener Zahlungsmittel",0
"Einzahlungen aus der Ausgabe von Aktien",0
"Auszahlung aus der Tilgung von Finanzverbindlichkeiten",3500000
"Dividendenausschüttung",8144251.12
"Gezahlte Zinsen aus Darlehen",446931.57
"Zahlungswirksame Veränderungen des Finanzmittelbestands",32489129.41
"wechselkursbedingte Änderungen des Finanzmittelbestands",10348.39
"I. Umsatzerlöse",228508252.04
"1. Aktivierte Eigenleistungen",4577310.66
"1. Materialaufwand",126644508.14
"2. Personalaufwand",25877428.4
"3. Abschreibungen",4204792.48
"1. Sonstige Finanzerträge",1400458.67
"2. Finanzaufwand",3195250.21
"VII. Ertragsteueraufwand",9209902.73
"Ergebnis je Aktie (unverwässert)",450
"Rechtsberatungs- und Abschlusskosten",3051000
"Beratungs- und beratungsnahe Kosten",3986000
"Bürokosten",2519000
"Betriebsausstattung und Leasing",3689000
"Vertrieb und Marketing",4484000
"Sonstiges",5722000
"Erträge aus Auflösung von Rückstellungen/abgegrenzten Schulden",277000
"Erträge aus vertraglicher Beziehung",880000
"Erträge aus Umrechnungsdifferenzen",400000
"Erträge aus Börsengang von Visa Inc.",0
"Erträge aus Neubewertung von Forderungen",306000
"Erträge aus Ausgleichszahlungen",0
"Erträge aus verrechneten Sachbezügen",259000
"Erträge Sonstiges",1497000
"Selbsterstellte immaterielle Vermögenswerte",16901071.28
"Sonstige immaterielle Vermögenswerte",13050001.41
"Kundenbeziehungen",62450775.11
"Sonstige Sachanlagen",1578235.5
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere (3.3.), (2.2.)",38698849.72
"Latente Steueransprüche (3.4.), (2.4.)",1205027.26
"1. Vorräte (3.5.), (2.3.)",359509.39
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen (3.6.), (2.3.)",118740739.19
"Steuererstattungsansprüche",180129.86
"4. Verzinsliche Wertpapiere (3.8.)",10000000
"5. Zahlungsmittel und Zahlungsmitteläquivalente* (3.9.), (6.)",185355190.19
"Payment Processing & Risk Management",77035000
"Acquiring & Issuing",24017000
"Call Center & Communication Services",288000
"1. Gezeichnetes Kapital",101803139
"2. Kapitalrücklage",11261517.49
"3. Gewinnrücklagen",176642694.67
"4. Umrechnungsrücklage",136860.98
"Langfristige verzinsliche Verbindlichkeiten",1000000
"Sonstige langfristige Verbindlichkeiten",331922
"Latente Steuerschulden",6584181.73
"Verbindlichkeiten aus Lieferungen und Leistungen",98443415.67
"Verzinsliche Verbindlichkeiten",21001261.72
"Sonstige Rückstellungen",1652111.11
"Sonstige Verbindlichkeiten",8524274.02
"Kundeneinlagen aus dem Bankgeschäft",118745103.95
"Steuerrückstellungen",3732922.55
"Ergebnis vor Zinsen und Ertragsteuern (EBIT)",67423303.49
"Gewinn/Verlust aus dem Abgang von Anlagevermögen",51631.01
"Effekte aus Währungskursschwankungen",466237.12
"Zunahme/Abnahme der Vorräte",5977.48
"Leistungen und sonstiger Forderungen",38816359.99
"Zunahme/Abnahme anderer Aktiva",242420.48
"Zunahme/Abnahme der Rückstellungen",411095.52
"Zunahme/Abnahme lfr. Schulden ohne Finanzschulden",1482592.62
"Leistungen",41670421.51
"Zunahme/Abnahme anderer kurzfristiger Passiva",8078409.98
"Sonstige zahlungsunwirksame Aufwendungen und Erträge",0
"Auszahlungssaldo aus Ertragsteuern",5664973.5
"Gezahlte Zinsen ohne Darlehenszinsen",410055.2
"Erhaltene Zinsen",163719.13
"Working Capital aus Erstkonsolidierung",524843.18
"und Sachanlagen",24472039.12
"und verzinsliche Wertpapiere",0
"Vermögenswerten",231643.63
"Einzahlungen aus der Tilgung von Ausleihungen",500000
"konsolidierter Gesellschaften",465126.28
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",20000000
"Auszahlungen aus der Tilgung von Finanzverbindlichkeiten",3500000
"Dividendenausschüttung",9162282.51
"Gezahlte Zinsen aus Darlehen",243006.91
"Finanzmittelbestands",40686367.12
"Wechselkursbedingte Änderungen des Finanzmittelbestands",150955.34
"Finanzmittelfonds",2872241.45
"I. Umsatzerlöse (5.1.), (2.3.)",271618709.21
"1. Aktivierte Eigenleistungen (5.2.)",6210870.42
"1. Materialaufwand (5.3.)",152545078.83
"2. Personalaufwand (5.4.)",27833017.13
"3. Abschreibungen (3.1.), (3.2.)",5840248
"1. Sonstige Finanzerträge",595912.96
"2. Finanzaufwand",2114330.77
"VII. Ertragsteueraufwand (5.8.)",11931716.6
"Ergebnis je Aktie (unverwässert) (5.9.)",530
"Rechtsberatungs- und Abschlusskosten",4842000
"Beratungs- und beratungsnahe Kosten",2417000
"Bürokosten",2957000
"Betriebsausstattung und Leasing",4759000
"Vertrieb und Marketing",3680000
"Sonstiges",7737000
"Erträge aus vertraglicher Beziehung",0
"Erträge aus Umrechnungsdifferenzen",133000
"Erträge aus der Neubewertung von Forderungen",474000
"Erträge aus verrechneten Sachbezügen",250000
"Erträge Sonstiges",951000
"Auflösung Ruckstellungen",369000
"Selbsterstellte immaterielle Vermögenswerte",21747727.91
"Sonstige immaterielle Vermögenswerte",28530343.25
"Kundenbeziehungen",87569941.5
"Sonstige Sachanlagen",2921352.13
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere",26714080.65
"Latente Steueransprüche",935682.14
"1. Vorräte und unfertige Leistungen",779041.92
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",182146406.2
"Steuererstattungsansprüche",5746595.36
"4. Verzinsliche Wertpapiere",9000000
"5. Zahlungsmittel und Zahlungsmitteläquivalente",213402742.02
"Payment Processing & Risk Management",101081000
"Acquiring & Issuing",26196000
"Call Center & Communication Services",288000
"1. Gezeichnetes Kapital",101803139
"2. Kapitalrücklage",11261517.49
"3. Gewinnrücklagen",227647884.7
"4. Umrechnungsrücklage",174807.86
"Langfristige verzinsliche Verbindlichkeiten",85023539.78
"Sonstige langfristige Verbindlichkeiten",12919280.07
"Latente Steuerschulden",9344360.97
"Verbindlichkeiten aus Lieferungen und Leistungen",135427699.85
"Verzinsliche Verbindlichkeiten",1000065.4
"Sonstige Rückstellungen",992406.81
"Sonstige Verbindlichkeiten",15103555.21
"Kundeneinlagen aus dem Bankgeschäft",105041535.89
"Steuerrückstellungen",1319325.53
"Ergebnis vor Zinsen und Ertragsteuern (EBIT)",75912517.14
"Gewinn/Verlust aus dem Abgang von Anlagevermögen",77739.04
"Effekte aus Währungskursschwankungen",649881.37
"Zunahme/Abnahme der Vorräte",419532.53
"Leistungen und sonstiger Forderungen",63559404.85
"Zunahme/Abnahme anderer Aktiva",1428107.58
"Zunahme/Abnahme der Rückstellungen",919664.52
"Zunahme/Abnahme lfr. Schulden ohne Finanzschulden",12587358.07
"Leistungen",37414888.94
"Zunahme/Abnahme anderer kurzfristiger Passiva",6558686.15
"Auszahlungssaldo aus Ertragsteuern",19112468.35
"Gezahlte Zinsen ohne Darlehenszinsen",430735.91
"Erhaltene Zinsen",71026.44
"Working Capital aus Erstkonsolidierung",11841328.82
"und Sachanlagen",37204802.22
"Vermögenswerten und Sachanlagen",34096.76
"Vermögenswerten",0
"Einzahlungen aus der Tilgung von Ausleihungen",0
"konsolidierter Gesellschaften",21110939.37
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",65023539.78
"Finanzverbindlichkeiten",779215.74
"Auszahlungen aus der Tilgung von Finanzverbindlichkeiten",11000000
"Dividendenausschüttung",10180313.28
"Gezahlte Zinsen aus Darlehen",549199.28
"Finanzmittelbestands",29835643.93
"Wechselkursbedingte Änderungen des Finanzmittelbestands",37946.88
"I. Umsatzerlöse",324797234.47
"1. Aktivierte Eigenleistungen",7442372.89
"1. Materialaufwand",189140858.05
"2. Personalaufwand",28239950.84
"3. Abschreibungen",8485170.27
"1. Sonstige Finanzerträge",386249.46
"2. Finanzaufwand",2379328.05
"VII. Ertragsteueraufwand",12733935.24
"Ergebnis je Aktie (unverwässert)",600
"Rechtsberatungs- und Abschlusskosten",4588000
"Beratungs- und beratungsnahe Kosten",2730000
"Bürokosten",3699000
"Betriebsausstattung und Leasing",5119000
"Vertrieb und Marketing",3712000
"Personalnahe Aufwendung",2398000
"Versicherungen, Beiträge & Abgaben",463000
"Sonstiges",9041000
"Erträge aus Auflösung von Rückstellungen/abgegrenzten Schulden",552000
"Erträge aus Umrechnungsdifferenzen",0
"Erträge aus der Neubewertung von Forderungen",202000
"Erträge aus verrechneten Sachbezügen",263000
"Erträge Sonstiges",272000
"Selbsterstellte immaterielle Vermögenswerte",28797000
"Sonstige immaterielle Vermögenswerte",25607000
"Kundenbeziehungen",151279000
"Sonstige Sachanlagen",11802000
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere",99128000
"Latente Steueransprüche",1112000
"1. Vorräte und unfertige Leistungen",1626000
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",215496000
"Steuererstattungsansprüche",8384000
"4. Verzinsliche Wertpapiere und Festgelder",84332000
"5. Zahlungsmittel und Zahlungsmitteläquivalente",358172000
"Payment Processing & Risk Management",107422000
"Acquiring & Issuing",34439000
"Call Center & Communication Services",288000
"1. Gezeichnetes Kapital",112192000
"2. Kapitalrücklage",140425000
"3. Gewinnrücklagen",289746000
"4. Umrechnungsrücklage",634000
"Langfristige verzinsliche Verbindlichkeiten",80031000
"Sonstige langfristige Verbindlichkeiten",12305000
"Latente Steuerschulden",13232000
"Verbindlichkeiten aus Lieferungen und Leistungen",187249000
"Verzinsliche Verbindlichkeiten",14939000
"Sonstige Rückstellungen",1298000
"Sonstige Verbindlichkeiten",28971000
"Kundeneinlagen aus dem Bankgeschäft",241893000
"Steuerrückstellungen",6236000
"Ergebnis vor Zinsen und Ertragsteuern (EBIT) (5.)",93582000
"Gewinn/Verlust aus dem Abgang von Anlagevermögen",49000
"Effekte aus Währungskursschwankungen",966000
"Zunahme/Abnahme der Vorräte",847000
"sonstiger Forderungen",35108000
"Zunahme/Abnahme anderer Aktiva",13818000
"Zunahme/Abnahme der Rückstellungen",769000
"Zunahme/Abnahme lfr. Schulden ohne Finanzschulden",4049000
"Zunahme/Abnahme Verbindlichkeiten aus Lieferungen und Leistungen",51837000
"Zunahme/Abnahme anderer kurzfristiger Passiva",7615000
"Auszahlungssaldo aus Ertragsteuern",11608000
"Gezahlte Zinsen ohne Darlehenszinsen",313000
"Erhaltene Zinsen",199000
"Capital aus Erstkonsolidierung",7595000
"Sachanlagen",50544000
"Sachanlagen",0
"verzinsliche Wertpapiere",39671000
"konsolidierter Gesellschaften",41207000
"Einzahlungen aus der Ausgabe von Aktien",141152000
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",2202000
"Aufnahme/Tilgung Verbindlichkeiten aus Leasing",228000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",53531000
"Finanzverbindlichkeiten",506000
"Auszahlungen aus der Tilgung von Finanzverbindlichkeiten",45024000
"Dividendenausschüttung",11198000
"Gezahlte Zinsen aus Darlehen",1654000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",98595000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",808000
"I. Umsatzerlöse",394601000
"1. Aktivierte Eigenleistungen",10260000
"1. Materialaufwand",229785000
"2. Personalaufwand",37076000
"3. Abschreibungen",15649000
"1. Sonstige Finanzerträge",2645000
"2. Finanzaufwand",5091000
"VII. Ertragsteueraufwand",17839000
"Ergebnis je Aktie (unverwässert) in EUR",670
"Rechtsberatungs- und Abschlusskosten",5542000
"Beratungs- und beratungsnahe Kosten",2938000
"Bürokosten",4504000
"Betriebsausstattung und Leasing",4978000
